room_id,rating,city,contextualPicturesCount,lat,long,listingObjType,name,roomTypeCategory,reviewCount,canInstantBook,price,maxGuestCapacity,SYSTEM_VIEW_OCEAN,SYSTEM_BEACH,SYSTEM_COOKING_BASICS,SYSTEM_WI_FI,SYSTEM_WORKSPACE,SYSTEM_MAPS_CAR_RENTAL,SYSTEM_TV,SYSTEM_ELEVATOR,SYSTEM_NO_DETECTOR_CO2,SYSTEM_VIEW_CITY,SYSTEM_POOL,SYSTEM_JACUZZI,SYSTEM_WASHER,SYSTEM_SNOWFLAKE,SYSTEM_NO_DETECTOR_SMOKE,SYSTEM_HAIRDRYER,SYSTEM_REFRIGERATOR,SYSTEM_SURVEILLANCE,isSuperHost,isVerified,SYSTEM_LOCK_ON_DOOR,SYSTEM_FLOWER,yearHosting,SYSTEM_PETS,SYSTEM_VIEW_MOUNTAIN,SYSTEM_PATIO_BALCONY,SYSTEM_TOYS,SYSTEM_LUGGAGE_DROP,SYSTEM_BREAKFAST,SYSTEM_SMOKING_ALLOWED,SYSTEM_NO_LOCK_ON_DOOR,SYSTEM_BOAT_SAIL,SYSTEM_FIREPLACE,SYSTEM_MAPS_RESORT,SYSTEM_DRYER,SYSTEM_PIANO,SYSTEM_BATHTUB,SYSTEM_EV_CHARGER,SYSTEM_FIREPIT,SYSTEM_HIGH_CHAIR,SYSTEM_GYM,SYSTEM_CALENDAR
926627952666566565,0.0,quangninh,22,20.954276604962182,107.00234334476777,REGULAR,Apartment 5* Lake View ALa Carte,entire_home,0,0,940538,3.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,2.0,2.0,0.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
911981563626566602,5.0,quangninh,11,20.86488,106.6643,REGULAR,An's House Apartment #101 - Vinhomes Imperia,entire_home,4,0,675606,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,0.0,0.0,2.0,2.0,0.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
924154687868578377,0.0,quangninh,11,20.96052163021764,107.0705558359623,REGULAR,simple and neat,entire_home,0,0,780565,3.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,0.0,0.0,2.0,2.0,0.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
769274508062906305,4.89,quangninh,11,20.724482,107.053356,REGULAR,Bancony hương cà phê và bữa sáng,private_room,9,0,787412,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,0.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,0.0,0.0,2.0,2.0,0.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
672861151523423960,4.75,quangninh,14,20.953519681989526,107.01289336718136,REGULAR,Căn hộ Studio - KS Citadines view Biển Hạ long,entire_home,4,0,789858,3.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
670537407590489475,4.6,quangninh,8,20.95452,107.01355,REGULAR,Studio sang trọng với tầm nhìn ra hồ,entire_home,5,0,724589,3.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,0.0,0.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
42233929,4.97,quangninh,28,20.75172,106.99507,REGULAR,J6 Phòng Deluxe - JOYSTAY,private_room,29,0,741765,2.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,0.0,2.0,2.0,2.0,1.0,1.0,0.0,1.0,2.0,2.0,0.0,0.0,2.0,1.0,0.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
883609629992937905,5.0,quangninh,22,20.960772,107.0705547,REGULAR,friendly and attentive,entire_home,4,0,741765,5.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,0.0,0.0,2.0,2.0,0.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
34316172,4.89,quangninh,30,20.76992,107.06554,REGULAR,"4.InnerX-Stay, Ha Long Floating Homestay",private_room,185,0,620487,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,5.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
26798876,4.96,quangninh,24,20.93941,107.10859,REGULAR,Gia đình bản xứ Hạ Long Lily - Phòng 202,private_room,145,0,755326,2.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,5.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
