room_id,rating,city,contextualPicturesCount,lat,long,listingObjType,name,roomTypeCategory,reviewCount,canInstantBook,price,maxGuestCapacity,SYSTEM_WI_FI,SYSTEM_MAPS_CAR_RENTAL,SYSTEM_POOL,SYSTEM_PETS,SYSTEM_TV,SYSTEM_WASHER,SYSTEM_DRYER,SYSTEM_SNOWFLAKE,SYSTEM_NO_DETECTOR_CO2,SYSTEM_NO_DETECTOR_SMOKE,SYSTEM_COOKING_BASICS,SYSTEM_WORKSPACE,SYSTEM_SURVEILLANCE,SYSTEM_VIEW_OCEAN,SYSTEM_ELEVATOR,SYSTEM_BEACH,SYSTEM_VIEW_CITY,SYSTEM_BATHTUB,SYSTEM_PATIO_BALCONY,SYSTEM_JACUZZI,SYSTEM_EV_CHARGER,SYSTEM_VIEW_MOUNTAIN,SYSTEM_FLOWER,SYSTEM_BREAKFAST,isSuperHost,isVerified,yearHosting,SYSTEM_NO_LOCK_ON_DOOR,SYSTEM_FIREPLACE,SYSTEM_LOCK_ON_DOOR,SYSTEM_GOLF,SYSTEM_REFRIGERATOR,SYSTEM_HAIRDRYER
41732322,4.64,quangninh,30,20.85008,106.68811,REGULAR,Phòng ngủ SHP Khánh Phong 3 phong cách Tân cổ điển.,entire_home,14,0,1725883,7.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0
41828639,4.78,quangninh,24,20.85025,106.68672,REGULAR,3 Bedroom  SHP Khánh Phong Homestay Model Style,entire_home,9,0,1782942,6.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0
839742542488971128,0.0,quangninh,14,20.95754,107.0822,REGULAR,Serviced Apartment at Ramadas Ha Long Bay View,private_room,0,0,1690532,5.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,0.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0
880075916891744955,0.0,quangninh,8,20.95085,107.07019,REGULAR,Halong view,entire_home,0,0,1716330,4.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,0.0,0.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0
32056047,4.86,quangninh,4,20.77197,106.98342,REGULAR,Chalet 1 phòng ngủ tại đảo Cát Bà,private_room,14,0,1753476,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0
869693161573500038,0.0,quangninh,30,20.73069,107.04987,REGULAR,Clean R-Big Vietnamese Dinner and Breakfast-Pickup,private_room,1,0,1774758,4.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,0.5833333333333334,0.0,2.0,2.0,2.0,2.0,2.0
872300901505094932,0.0,quangninh,14,20.953239562066447,107.00256655019875,REGULAR,À La Carte Hạ Long Bay Residence,entire_home,0,0,1661554,3.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0
38438347,4.25,quangninh,30,20.95157,107.02354,REGULAR,Hướng nhìn ra vịnh Hạ Long - Trái tim Hạ Long 3BR,entire_home,4,0,1711766,6.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,0.0,2.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0
31939442,0.0,quangninh,17,20.95181,107.02564,REGULAR,(Giá tốt nhất) - Căn hộ 1208C view biển đẹp.,entire_home,0,0,1704429,4.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,2.0,1.0,2.0,2.0,2.0,2.0
762522755282956880,0.0,quangninh,13,20.722878348049385,106.78035884582084,REGULAR,Căn hộ Marina - penhouse và tất cả các điểm tham quan,private_room,0,0,1711766,2.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,0.0,1.0,0.0,2.0,2.0,1.0,1.0,2.0,2.0
