room_id,rating,city,contextualPicturesCount,lat,long,listingObjType,name,roomTypeCategory,reviewCount,canInstantBook,price,maxGuestCapacity,SYSTEM_BEACH,SYSTEM_COOKING_BASICS,SYSTEM_WI_FI,SYSTEM_WORKSPACE,SYSTEM_POOL,SYSTEM_TV,SYSTEM_ELEVATOR,SYSTEM_WASHER,SYSTEM_SNOWFLAKE,SYSTEM_BATHTUB,SYSTEM_VIEW_OCEAN,SYSTEM_VIEW_CITY,SYSTEM_JACUZZI,SYSTEM_NO_DETECTOR_CO2,isSuperHost,isVerified,yearHosting,SYSTEM_MAPS_CAR_RENTAL,SYSTEM_SURVEILLANCE,SYSTEM_NO_LOCK_ON_DOOR,SYSTEM_EV_CHARGER,SYSTEM_DRYER,SYSTEM_PATIO_BALCONY,SYSTEM_FLOWER,SYSTEM_SAUNA,SYSTEM_NO_DETECTOR_SMOKE,SYSTEM_LUGGAGE_DROP,SYSTEM_HIGH_CHAIR,SYSTEM_HAIRDRYER,SYSTEM_PETS,SYSTEM_LOCK_ON_DOOR,SYSTEM_FIREPLACE,SYSTEM_VIEW_MOUNTAIN,SYSTEM_BREAKFAST,SYSTEM_REFRIGERATOR,SYSTEM_SMOKING_ALLOWED,SYSTEM_FIREPIT,SYSTEM_MAPS_RESORT
904009843293945306,0.0,quangninh,8,20.8633,106.656,REGULAR,FSBHomestay-HoàngHuy Grand 2 Brs,entire_home,0,0,1571971,4.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
864184071202805303,0.0,quangninh,30,20.95936,107.00768,REGULAR,Homestay 2br Green Bay Garden,entire_home,0,0,1445491,4.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
930689310951519278,0.0,quangninh,6,20.95312646120146,107.00194638938821,REGULAR,studio apartment with sea view,entire_home,0,0,1408199,2.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,0.0,0.0,0.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
23028598,4.82,quangninh,23,20.95167,107.07349,REGULAR,Family room in HL center - Breakfast included,private_room,11,0,1445491,3.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,0.0,1.0,1.0,5.0,1.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
41022951,0.0,quangninh,27,20.75175,106.99504,REGULAR,Gia đình Bungalow-JoyStay,private_room,1,0,1460707,4.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,0.0,0.0,1.0,4.0,1.0,2.0,0.0,2.0,2.0,1.0,1.0,2.0,0.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
748367957439990510,5.0,quangninh,19,20.73482,107.04424,REGULAR,Lynh 's Villa - phòng giường đôi cho 4 người,private_room,3,0,1426471,4.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
32027051,4.86,quangninh,5,20.77307,106.98466,REGULAR,Phòng ngủ rộng trong Vườn quốc gia Cát Bà,private_room,7,0,1564658,3.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0
599638908416064180,0.0,quangninh,11,20.95231942961504,107.1116076868694,REGULAR,Phòng 202 Trop Villa - BT9.46 FLC Hạ Long,private_room,0,0,1437883,2.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,0.0,1.0,0.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
725661973853235417,0.0,quangninh,7,20.85192,106.68577,REGULAR,Căn hộ dịch vụ hai phòng ngủ tại SHP Plaza,entire_home,0,0,1415059,4.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0
884400897166880157,0.0,quangninh,22,20.863745241217554,106.65797421747438,REGULAR,"Hoang Huy Grand Tower, Hai Phong city",entire_home,0,0,1483530,4.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
748371499410570702,4.33,quangninh,18,20.73322,107.04652,REGULAR,Biệt thự của Lynh - phòng cho 3 người có ban công,private_room,6,0,1426471,3.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0
37300565,5.0,quangninh,24,20.97147,107.04545,REGULAR,Panoramic scenes Apt HaLongBayView 2Br,entire_home,3,0,1517765,6.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
776660492892315027,0.0,quangninh,8,20.95203,107.05719,REGULAR,du thuyền thăm hạ long 6 tiếng,entire_home,0,0,1426471,1.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
854263927434310761,0.0,quangninh,9,20.85115,106.68512,REGULAR,AnE House SHP Plaza Hải Phòng,entire_home,0,0,1597648,4.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
38941994,5.0,quangninh,25,20.94972,107.07099,REGULAR,Suite Room  next to seacoast - Breakfast included,private_room,4,0,1540589,2.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0
659069440902146547,0.0,quangninh,14,20.95492,107.01658,REGULAR,Căn hộ cao cấp view biển Cetadines,entire_home,0,0,1578628,3.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
