room_id,rating,city,contextualPicturesCount,lat,long,listingObjType,name,roomTypeCategory,reviewCount,canInstantBook,price,maxGuestCapacity,SYSTEM_VIEW_OCEAN,SYSTEM_BEACH,SYSTEM_COOKING_BASICS,SYSTEM_WI_FI,SYSTEM_WORKSPACE,SYSTEM_MAPS_CAR_RENTAL,SYSTEM_POOL,SYSTEM_TV,SYSTEM_NO_DETECTOR_CO2,SYSTEM_PETS,SYSTEM_JACUZZI,SYSTEM_ELEVATOR,SYSTEM_WASHER,SYSTEM_EV_CHARGER,SYSTEM_PATIO_BALCONY,SYSTEM_FLOWER,SYSTEM_LUGGAGE_DROP,SYSTEM_NO_DETECTOR_SMOKE,SYSTEM_VIEW_CITY,SYSTEM_SURVEILLANCE,SYSTEM_MAPS_RESORT,SYSTEM_VIEW_MOUNTAIN,SYSTEM_SNOWFLAKE,SYSTEM_FIREPLACE,SYSTEM_HAIRDRYER,SYSTEM_REFRIGERATOR,isSuperHost,isVerified,yearHosting,SYSTEM_NO_LOCK_ON_DOOR,SYSTEM_LOCK_ON_DOOR,SYSTEM_DRYER,SYSTEM_GYM,SYSTEM_HIGH_CHAIR,SYSTEM_BOAT_SAIL,SYSTEM_CALENDAR,SYSTEM_GOLF,SYSTEM_BREAKFAST,SYSTEM_SAUNA,SYSTEM_SMOKING_ALLOWED,SYSTEM_BATHTUB
926014495038559188,0.0,quangninh,26,20.86368241035742,106.65912919438432,REGULAR,"Elegant, New Funiture & Spacious 2BR APT Hai Phong",entire_home,0,0,1072648,4.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
796347988697832753,5.0,quangninh,26,20.75234960422928,106.99411878363651,REPRESENTATIVE,Bungalow tuyệt vời trong Vườn mùa xuân,private_room,5,0,1153000,2.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,1.0,0.9166666666666666,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
41011599,4.91,quangninh,30,20.960251,107.047096,REGULAR,Nhà đẹp với khu vườn đáng yêu 🌸🌼🌺 104,entire_home,11,0,1141121,2.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,0.0,0.0,0.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
851295984865753776,0.0,quangninh,26,20.955894409356677,107.09499847143888,REGULAR,Luxury Studio Citadin Hạ Long,entire_home,0,0,1079879,2.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
685147587439862894,4.83,quangninh,22,20.93071,106.99284,REGULAR,Khách sạn Postcard 5 phút ra bãi tắm,private_room,6,0,1084118,2.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,0.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
900511301000048812,0.0,quangninh,15,20.9519320617992,107.02482115477324,REGULAR,Sweet Home Halong Bay View,entire_home,0,0,1082401,6.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,0.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
33825709,0.0,quangninh,7,20.957387924194336,107.01480102539062,REGULAR,Căn hộ 2 pho ̀ ng ngu ̉ cô ̉ điê ̉ n tâ ̀ m biê ̉ n,entire_home,0,0,1146824,4.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
927117607696776460,0.0,quangninh,10,20.862695986167882,106.66044041580646,REGULAR,Căn hộ chung cư cao cấp,entire_home,0,0,1186982,5.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,0.0,0.0,0.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
856088217124952490,0.0,quangninh,7,20.960358,106.9938072,REGULAR,Amoureux greenbay HaLong 2,entire_home,0,0,1141177,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
836521904897173811,0.0,quangninh,26,20.864703843657903,106.66032013073023,REGULAR,Homestay Honey Căn hộ Hải Phòng - HHG Tower,entire_home,0,0,1067613,6.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
