room_id,rating,city,contextualPicturesCount,lat,long,listingObjType,name,roomTypeCategory,reviewCount,canInstantBook,price,maxGuestCapacity,SYSTEM_BEACH,SYSTEM_COOKING_BASICS,SYSTEM_WI_FI,SYSTEM_WORKSPACE,SYSTEM_TV,SYSTEM_ELEVATOR,SYSTEM_WASHER,SYSTEM_SNOWFLAKE,SYSTEM_SURVEILLANCE,SYSTEM_NO_DETECTOR_CO2,SYSTEM_VIEW_OCEAN,SYSTEM_VIEW_CITY,SYSTEM_MAPS_CAR_RENTAL,SYSTEM_POOL,SYSTEM_PETS,SYSTEM_DRYER,SYSTEM_PATIO_BALCONY,SYSTEM_FLOWER,SYSTEM_NO_DETECTOR_SMOKE,SYSTEM_VIEW_MOUNTAIN,SYSTEM_JACUZZI,SYSTEM_LUGGAGE_DROP,SYSTEM_BATHTUB,isSuperHost,isVerified,SYSTEM_NO_LOCK_ON_DOOR,yearHosting,SYSTEM_LOCK_ON_DOOR,SYSTEM_BOAT_SAIL,SYSTEM_EV_CHARGER,SYSTEM_REFRIGERATOR,SYSTEM_HAIRDRYER,SYSTEM_BREAKFAST,SYSTEM_CABLE,SYSTEM_SAUNA,SYSTEM_FIREPLACE
846127552511108296,0.0,quangninh,11,20.95834,107.00732,REGULAR,"[-20%] Căn hộ 2 phòng ngủ sang trọng , tầm nhìn ra bãi biển,  hồ bơi",entire_home,0,0,1300942,4.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,0.0,0.0,2.0,0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
41000700,5.0,quangninh,30,20.960251,107.047096,REGULAR,Nhà phong cách căn gác đẹp với khu vườn đáng yêu 🌺204,entire_home,3,0,1286787,3.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,2.0,0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
878602825785390289,0.0,quangninh,7,20.96224,107.01524,REGULAR,Mộc homestay,entire_home,0,0,1406885,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,0.0,0.0,2.0,0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
864204764404841779,5.0,quangninh,30,20.9524598,107.0245093,REGULAR,Homestay SeaView - 2 phòng ngủ view biển,entire_home,3,0,1278118,8.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,0.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,2.0,0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
901523864025780262,0.0,quangninh,30,20.8683599,106.6556575,REGULAR,Căn hộ 2 ngủ 4-6 khách 609 HHSD,entire_home,0,0,1283824,6.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,0.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,2.0,0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
15100342,4.89,quangninh,30,20.99996,107.77596,REGULAR,gia đình bản xứ ở làng biển đảo coto,private_room,20,0,1369412,2.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,0.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,0.0,7,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
37641196,0.0,quangninh,12,20.95324,107.02314,REGULAR,Newlife aparment,entire_home,0,0,1323765,5.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,2.0,0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
909097549227979033,0.0,quangninh,19,20.8206655,106.6854617,REGULAR,Cozy Home - Vinhomes Marina,private_room,0,0,1283824,4.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,0.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,1.0,2.0,0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0
904565639621726340,0.0,quangninh,15,20.83655,106.70177,REGULAR,Happy Sakura Apartment,private_room,0,0,1259311,4.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,0.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,0.0,0.0,2.0,0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
627900058102887724,4.67,quangninh,6,20.95051,107.07254,REGULAR,MGhome #2619 Căn hộ sang trọng tại Vịnh Hạ Long,entire_home,3,0,1232471,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,2.0,0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
852121000044644193,0.0,quangninh,7,20.86386,106.66024,REGULAR,Sống cùng gia đình bản xứ,entire_home,0,0,1209648,4.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,2.0,0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
843266931735853660,0.0,quangninh,6,20.95255917754108,107.02395408425294,REGULAR,DUAS HOUSE Homestay Newlife 303B,entire_home,0,0,1208017,4.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,0.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,0.0,0.0,2.0,0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
751982602961871796,5.0,quangninh,18,20.73254,107.04471,REGULAR,Lynh 's Villa - 2 phòng ngủ đơn,private_room,6,0,1255295,16.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,0.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,0.0,0.0,2.0,0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
619018772028785372,0.0,quangninh,9,20.83556,106.70458,REGULAR,"Căn Hộ Dịch Vụ 2 phòng ngủ có bể bơi, gym, bida",private_room,0,0,1255295,4.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,0.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,0.0,2.0,1.0,2.0,2.0,0.0,0.0,2.0,0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
41021932,0.0,quangninh,23,20.751664073110973,106.99496685451861,REGULAR,J4 Phòng Superior - JOYSTAY,private_room,0,0,1369412,4.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,0.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,0.0,2.0,2.0,1.0,2.0,0.0,0.0,2.0,0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0
