room_id,rating,city,contextualPicturesCount,lat,long,listingObjType,name,roomTypeCategory,canInstantBook,price,maxGuestCapacity,SYSTEM_BEACH,SYSTEM_COOKING_BASICS,SYSTEM_WI_FI,SYSTEM_MAPS_CAR_RENTAL,SYSTEM_POOL,SYSTEM_JACUZZI,SYSTEM_TV,SYSTEM_ELEVATOR,SYSTEM_WASHER,SYSTEM_SURVEILLANCE,SYSTEM_WORKSPACE,reviewCount,SYSTEM_SNOWFLAKE,SYSTEM_NO_DETECTOR_CO2,SYSTEM_VIEW_OCEAN,isSuperHost,isVerified,yearHosting,SYSTEM_LOCK_ON_DOOR,SYSTEM_FLOWER,SYSTEM_LUGGAGE_DROP,SYSTEM_NO_DETECTOR_SMOKE,SYSTEM_PETS,SYSTEM_BOAT_SAIL,SYSTEM_EV_CHARGER,SYSTEM_HAIRDRYER,SYSTEM_REFRIGERATOR,SYSTEM_DRYER,SYSTEM_SAUNA,SYSTEM_FIREPLACE,SYSTEM_NO_LOCK_ON_DOOR,SYSTEM_BREAKFAST,SYSTEM_GYM,SYSTEM_VIEW_CITY,SYSTEM_PATIO_BALCONY,SYSTEM_SMOKING_ALLOWED
914915056536761436,0.0,quangninh,9,20.7298847,107.0526826,REGULAR,Tour discover two bays  Ha Long bay - Lan Ha bay,shared_room,0,2158135,16,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,0,1.0,0.0,2.0,0.0,0.0,0,2.0,2.0,2.0,0.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0
39164458,0.0,quangninh,16,20.95362,107.02478,REGULAR,Ocean homestay Hạ Long 2 phòng ngủ,entire_home,0,2134001,4,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,0,1.0,2.0,2.0,0.0,0.0,0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0
31003620,0.0,quangninh,16,20.95271,107.02483,REGULAR,Homestay Ha Long Luxury (Tầm nhìn ra biển),entire_home,0,2134001,4,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,0,2.0,2.0,2.0,0.0,0.0,0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
43670192,0.0,quangninh,15,20.95856,107.00681,REGULAR,Hết phòng đến cuối năm í :( quý khách thông cảm,entire_home,0,2054119,10,2.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,0,1.0,0.0,2.0,0.0,0.0,0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
609948787155009948,0.0,quangninh,12,20.951071,107.028229,REGULAR,Căn hộ homestay 2 phòng ngủ chung cư Newlife,entire_home,0,2198262,1,2.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,0,1.0,0.0,2.0,0.0,0.0,0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
832226471835720112,0.0,quangninh,7,20.95463,107.01313,REGULAR,Căn hộ 2 phòng ngủ hướng biển trong citadines 5*,entire_home,0,2054119,4,1.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,0,2.0,0.0,1.0,0.0,0.0,0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
26961995,0.0,quangninh,11,20.95113,107.02508,REGULAR,Homestay Kim Hiền,entire_home,0,2054119,6,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,0,1.0,0.0,2.0,0.0,0.0,0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
39177928,0.0,quangninh,9,20.85414,106.66889,REGULAR,Khách sạn và căn hộ Victory - Phòng ngủ cao cấp 2,entire_home,0,2054119,2,2.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,0,1.0,2.0,2.0,0.0,0.0,0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0
648423720656120882,0.0,quangninh,10,20.95773,107.00332,REGULAR,Căn Hộ 3 Phòng Ngủ Có Ban Công,entire_home,0,2185131,6,2.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,0,1.0,2.0,2.0,0.0,0.0,0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
769479731744503565,0.0,quangninh,5,20.9489544,107.0733056,REGULAR,Căn hộ 2 phòng ngủ (5 sao),entire_home,0,2168236,4,1.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,0,1.0,0.0,2.0,0.0,0.0,0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
24810928,0.0,quangninh,9,20.77663,106.71751,REGULAR,Căn hộ 582 Cửa Nam,entire_home,0,2050245,5,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,0,2.0,0.0,2.0,0.0,0.0,0,2.0,2.0,2.0,0.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
38806054,0.0,quangninh,9,20.85297,106.66751,REGULAR,Khách sạn và căn hộ Victory - 2 phòng ngủ,entire_home,0,2054119,2,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,0,1.0,0.0,2.0,0.0,0.0,0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
29445760,0.0,quangninh,8,20.95692,107.00529,REGULAR,Lavender House-HA 71,private_room,0,2013777,6,2.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,0,1.0,0.0,2.0,0.0,1.0,0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0
25114362,5.0,quangninh,1,20.95344,107.02445,REGULAR,Căn hộ 3BR gần Trung tâm du lịch Hạ Long,entire_home,0,2054119,4,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,9,1.0,2.0,2.0,0.0,0.0,0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0
30915676,0.0,quangninh,30,20.95835,107.00771,REGULAR,Căn hộ ấm cúng 2BR tuyệt vời cho tuần trăng mật ngắm vịnh Hạ Long,entire_home,0,2142472,4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,0,2.0,0.0,2.0,0.0,0.0,0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
30132363,5.0,quangninh,11,20.95743,107.00612,REGULAR,Blue Ocean House - Sống cùng gia đình bản xứ tại địa phương,entire_home,0,2054119,4,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,13,1.0,2.0,2.0,0.0,0.0,0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
32330883,0.0,quangninh,10,20.95538,107.02111,REGULAR,Khách sạn căn hộ Ocean View tại Hà dài,private_room,0,2158135,4,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,0,1.0,0.0,2.0,0.0,0.0,0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0
